strategy,market_ticker,close_time,side,strike,spot_at_open,hours_to_expiry,market_implied_prob,fair_prob,edge,position_size,won,gross_pnl,kalshi_fee,net_pnl,cum_pnl
A,KXBTC-26APR0812-B72050,2026-04-08T16:00:00+00:00,below,72050.0,71608.27,168.0,0.01,0.5646,0.5546,50.0,False,-50.0,0.0,-50.0,-2200.0
B,KXBTC-26APR0812-B72050,2026-04-08T16:00:00+00:00,below,72050.0,71608.27,168.0,0.01,0.5001,0.4901,50.0,False,-50.0,0.0,-50.0,-2200.0
AB,KXBTC-26APR0812-B72050,2026-04-08T16:00:00+00:00,below,72050.0,71608.27,168.0,0.01,0.5162,0.5062,50.0,False,-50.0,0.0,-50.0,-2200.0
A,KXBTC-26APR0804-B69350,2026-04-08T08:00:00+00:00,below,69350.0,71800.02,168.0,0.01,0.5611,0.5511,50.0,False,-50.0,0.0,-50.0,-2250.0
B,KXBTC-26APR0804-B69350,2026-04-08T08:00:00+00:00,below,69350.0,71800.02,168.0,0.01,0.5611,0.5511,50.0,False,-50.0,0.0,-50.0,-2250.0
AB,KXBTC-26APR0804-B69350,2026-04-08T08:00:00+00:00,below,69350.0,71800.02,168.0,0.01,0.5611,0.5511,50.0,False,-50.0,0.0,-50.0,-2250.0
A,KXBTC-26APR0816-B66650,2026-04-08T20:00:00+00:00,below,66650.0,71387.32,168.0,0.01,0.4589,0.4489,50.0,False,-50.0,0.0,-50.0,-2300.0
B,KXBTC-26APR0816-B66650,2026-04-08T20:00:00+00:00,below,66650.0,71387.32,168.0,0.01,0.2598,0.2498,50.0,False,-50.0,0.0,-50.0,-2300.0
AB,KXBTC-26APR0816-B66650,2026-04-08T20:00:00+00:00,below,66650.0,71387.32,168.0,0.01,0.3096,0.2996,50.0,False,-50.0,0.0,-50.0,-2300.0
A,KXBTC-26APR0803-B74850,2026-04-08T07:00:00+00:00,below,74850.0,71641.01,168.0,0.01,0.6276,0.6176,50.0,False,-50.0,0.0,-50.0,-2350.0
B,KXBTC-26APR0803-B74850,2026-04-08T07:00:00+00:00,below,74850.0,71641.01,168.0,0.01,0.6276,0.6176,50.0,False,-50.0,0.0,-50.0,-2350.0
AB,KXBTC-26APR0803-B74850,2026-04-08T07:00:00+00:00,below,74850.0,71641.01,168.0,0.01,0.6276,0.6176,50.0,False,-50.0,0.0,-50.0,-2350.0
A,KXBTC-26APR0723-B77550,2026-04-08T03:00:00+00:00,below,77550.0,71286.0,168.0,0.01,0.67,0.66,50.0,False,-50.0,0.0,-50.0,-2400.0
B,KXBTC-26APR0723-B77550,2026-04-08T03:00:00+00:00,below,77550.0,71286.0,168.0,0.01,0.7458,0.7358,50.0,False,-50.0,0.0,-50.0,-2400.0
AB,KXBTC-26APR0723-B77550,2026-04-08T03:00:00+00:00,below,77550.0,71286.0,168.0,0.01,0.7269,0.7169,50.0,False,-50.0,0.0,-50.0,-2400.0
A,KXBTC-26APR0800-B74150,2026-04-08T04:00:00+00:00,below,74150.0,71556.55,168.0,0.01,0.6053,0.5953,50.0,False,-50.0,0.0,-50.0,-2450.0
B,KXBTC-26APR0800-B74150,2026-04-08T04:00:00+00:00,below,74150.0,71556.55,168.0,0.01,0.6126,0.6026,50.0,False,-50.0,0.0,-50.0,-2450.0
AB,KXBTC-26APR0800-B74150,2026-04-08T04:00:00+00:00,below,74150.0,71556.55,168.0,0.01,0.6108,0.6008,50.0,False,-50.0,0.0,-50.0,-2450.0
A,KXBTC-26APR0808-B66250,2026-04-08T12:00:00+00:00,below,66250.0,72077.79,168.0,0.01,0.4369,0.4269,50.0,False,-50.0,0.0,-50.0,-2500.0
B,KXBTC-26APR0808-B66250,2026-04-08T12:00:00+00:00,below,66250.0,72077.79,168.0,0.01,0.2316,0.2216,50.0,False,-50.0,0.0,-50.0,-2500.0
AB,KXBTC-26APR0808-B66250,2026-04-08T12:00:00+00:00,below,66250.0,72077.79,168.0,0.01,0.2829,0.2729,50.0,False,-50.0,0.0,-50.0,-2500.0
