ticker,spot,label,bullish_score,bearish_score,net_score,setups_firing,snapshot_close,snapshot_high_52w,snapshot_low_52w,snapshot_volume_5d_avg
TOST,24.260000228881836,NEUTRAL,0,23.2,-23.2,sma_stack(0.78),24.26,49.66,22.26,10558357
PSA,320.2200012207031,NEUTRAL,23.1,0,23.1,sma_stack(0.77),320.22,331.79,256.54,1001748
LOW,214.39999389648438,NEUTRAL,0,22.4,-22.4,sma_stack(0.75),214.4,293.06,203.4,3594664
SOUN,6.880000114440918,NEUTRAL,0,21.8,-21.8,sma_stack(0.72),6.88,22.17,5.83,26197115
MCO,447.3299865722656,NEUTRAL,21.3,0,21.3,compression(0.85),447.33,546.88,402.28,1293888
REGN,612.5,NEUTRAL,0,21.3,-21.3,sma_stack(0.71),612.5,821.11,507.61,1459760
HII,278.19000244140625,NEUTRAL,0,21.0,-21.0,sma_stack(0.70),278.19,460.0,228.69,611427
CSX,46.20000076293945,NEUTRAL,20.3,0,20.3,compression(0.81),46.2,48.03,31.8,13756974
SHOP,107.9800033569336,NEUTRAL,0,19.5,-19.5,sma_stack(0.65),107.98,182.19,94.0,7896560
ELV,394.82000732421875,NEUTRAL,19.3,0,19.3,compression(0.77),394.82,426.98,273.71,1641401
TXT,86.94000244140625,NEUTRAL,19.2,0,19.2,compression(0.77),86.94,101.57,75.8,2073311
TJX,164.1699981689453,NEUTRAL,18.4,0,18.4,sma_stack(0.61),164.17,170.0,119.84,5954215
V,326.6000061035156,NEUTRAL,18.2,0,18.2,compression(0.73),326.6,359.66,293.89,10536136
MPC,247.2899932861328,NEUTRAL,18.0,0,18.0,compression(0.72),247.29,272.46,158.0,2962861
AFRM,72.19999694824219,NEUTRAL,18.0,0,18.0,sma_stack(0.60),72.2,100.0,42.1,5336289
CVNA,66.66999816894531,NEUTRAL,0,17.6,-17.6,sma_stack(0.59),66.67,97.38,54.46,12241907
KKR,96.9000015258789,NEUTRAL,0,17.3,-17.3,compression(0.69),96.9,153.87,82.67,4026828
BBY,76.01000213623047,NEUTRAL,16.5,0,16.5,sma_stack(0.55),76.01,84.99,55.1,4090302
LNG,230.85000610351562,NEUTRAL,0,16.4,-16.4,compression(0.66),230.85,300.89,186.2,2503452
PFE,25.079999923706055,NEUTRAL,0,15.9,-15.9,compression(0.64),25.08,28.75,23.11,51539548
UPS,107.23999786376953,NEUTRAL,15.9,0,15.9,sma_stack(0.53),107.24,122.41,82.0,6674184
VRT,357.9599914550781,NEUTRAL,15.8,0,15.8,sma_stack(0.53),357.96,379.93,110.06,6122363
NOW,93.01000213623047,NEUTRAL,0,15.8,-15.8,sma_stack(0.53),93.01,211.48,81.24,26707788
BBAI,3.8299999237060547,NEUTRAL,0,15.8,-15.8,sma_stack(0.53),3.83,9.39,3.01,29479555
NVO,45.880001068115234,NEUTRAL,15.8,0,15.8,compression(0.63),45.88,71.8,35.12,10655947
EMR,150.2100067138672,NEUTRAL,15.6,0,15.6,sma_stack(0.52),150.21,165.15,122.64,3311094
JD,27.020000457763672,NEUTRAL,0,15.6,-15.6,sma_stack(0.52),27.02,36.86,24.51,8011849
SPY,744.3900146484375,NEUTRAL,14.2,0,14.2,proximity_52w(0.57),744.39,760.4,591.89,67849602
ALL,222.55999755859375,NEUTRAL,13.6,0,13.6,proximity_52w(0.55),222.56,227.62,188.08,2098519
